x,Curve1
0.0995,3.171
1.5419,3.1208
2.9247,3.1069
3.3496,3.3966
3.9548,3.6739
4.92,3.9024
6.1849,4.058
7.629,4.1287
9.0717,4.1026
11.1141,3.9548
12.3746,3.796
13.6349,3.625
14.7747,3.4301
15.0747,3.3813
16.154,3.1622
17.1733,2.9553
18.1925,2.7363
19.2115,2.5052
20.0507,2.3227
21.0697,2.0916
21.609,1.9579
22.5679,1.7269
23.5268,1.4959
24.4855,1.2528
25.6239,0.961
26.5225,0.718
27.421,0.475
28.1992,0.22
29.3389,0.025
