x,Curve1
-6.585,0.0442
-2.195,0.1206
0.366,0.5924
1.829,1.027
3.659,1.444
5.854,1.8251
8.415,2.2067
10.244,2.4611
13.171,2.8069
16.098,3.1527
19.207,3.4806
22.866,3.7549
26.89,3.9753
31.28,4.0879
35.671,4.1102
40.244,4.0063
44.268,3.7935
47.744,3.5261
51.037,3.2224
53.963,2.8823
56.707,2.5239
59.268,2.1473
61.463,1.7523
63.293,1.3389
64.939,0.9253
66.585,0.5118
69.878,0.2081
74.268,0.1401
